City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
29,Victoria,HK,81.18,clear sky,22.2855,114.1577,Mini Hotel Central
31,Sola,VU,82.56,clear sky,-13.8833,167.55,Leumerus Bungalows
35,Nabire,ID,77.7,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
40,Talaja,IN,85.62,clear sky,21.35,72.05,Tofik Memon
43,Georgetown,MY,84.15,few clouds,5.4112,100.3354,Cititel Penang
48,Rikitea,PF,77.67,clear sky,-23.1203,-134.9692,People ThankYou
52,Saint-Joseph,RE,77.38,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
53,Komsomolskiy,UZ,77.72,clear sky,40.4272,71.7189,Ikathouse
54,Bambous Virieux,MU,80.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
59,Sampit,ID,75.87,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
61,Tahta,EG,88.45,clear sky,26.7693,31.5021,فندق الزيات
62,San Patricio,US,75.07,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
69,Maracacume,BR,87.22,overcast clouds,-2.0428,-45.9592,Hotel Ramos
71,Santa Isabel Do Rio Negro,BR,75.69,overcast clouds,-0.4139,-65.0192,Hotel GSA
72,Arraial Do Cabo,BR,78.76,light intensity drizzle,-22.9661,-42.0278,Pousada Porto Praia
73,Belmonte,BR,87.26,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
75,Atuona,PF,78.51,light rain,-9.8,-139.0333,Villa Enata
77,Mogadishu,SO,85.87,broken clouds,2.0371,45.3438,Hotel Juba
85,Mahebourg,MU,80.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
86,Saint-Pierre,RE,78.48,broken clouds,-21.3393,55.4781,Lindsey Hôtel
92,Le Port,RE,78.8,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
97,Mocuba,MZ,79.03,broken clouds,-16.8392,36.9856,Phama Lodge
99,Sakakah,SA,83.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
103,Ampanihy,MG,81.39,overcast clouds,-24.7,44.75,Angora Hotel
104,Faanui,PF,81.66,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
108,Labuhan,ID,80.69,broken clouds,-6.8844,112.2051,DoubleFAG
110,Kupang,ID,78.78,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
111,Dabwali,IN,86.14,few clouds,29.95,74.7333,Hotel Siddarth
112,Diamantino,BR,81.43,broken clouds,-14.4086,-56.4461,Hotel Delta
114,Bethel,US,76.35,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
117,Nhulunbuy,AU,77.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
118,Maragogi,BR,84.88,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
123,Yarada,IN,84.52,few clouds,17.65,83.2667,Yarada Jungle Beach Resorts
124,Vila Do Maio,CV,77.79,clear sky,15.1333,-23.2167,Hotel Marilu
125,Hithadhoo,MV,84.04,overcast clouds,-0.6,73.0833,Scoop Guest House
126,Marsh Harbour,BS,76.53,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
127,Sinnamary,GF,80.15,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
128,Westport,US,75.42,overcast clouds,41.1415,-73.3579,The Inn at Longshore
129,Shieli,KZ,76.19,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
131,Butaritari,KI,80.82,light rain,3.0707,172.7902,Isles Sunset Lodge
135,Sao Joao Da Barra,BR,84.29,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
138,Siparia,TT,86.83,few clouds,10.1333,-61.5,Brook Gardens
139,Ramnagar,IN,81.63,clear sky,29.4,79.1167,Leisure Vacation Myrica Hotel
141,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
145,Bubaque,GW,75.6,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
149,Yulara,AU,84.04,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
150,Moindou,NC,75.42,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
151,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
156,Road Town,VG,80.69,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
157,Port Hedland,AU,82.45,broken clouds,-20.3167,118.5667,The Esplanade Hotel
163,Bako,ET,78.22,overcast clouds,5.7833,36.5667,Goh Hotel
