City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Avera,US,33.194,-82.5271,72.55,71,100,10.96,overcast clouds
1,Rabo De Peixe,PT,37.8,-25.5833,63.91,77,40,11.5,scattered clouds
2,Busselton,AU,-33.65,115.3333,58.73,71,0,8.25,clear sky
3,Springfield,US,37.2153,-93.2982,49.89,60,0,9.22,clear sky
4,Puerto Ayora,EC,-0.7393,-90.3518,76.96,81,59,9.89,broken clouds
5,Roald,NO,62.5833,6.1333,50.92,57,0,16.11,clear sky
6,Antofagasta,CL,-23.65,-70.4,61.88,67,43,6.13,scattered clouds
7,Foki,RU,56.693,54.3499,46.92,95,88,3.85,overcast clouds
8,Kapaa,US,22.0752,-159.319,73.72,85,100,3.0,overcast clouds
9,Portland,US,45.5234,-122.6762,38.61,93,100,7.0,overcast clouds
10,Jackson,US,42.4165,-122.8345,39.7,94,100,1.01,overcast clouds
11,Comodoro Rivadavia,AR,-45.8667,-67.5,67.86,45,0,16.11,clear sky
12,Chapais,CA,49.7834,-74.8492,38.98,90,100,13.51,overcast clouds
13,Punta Arenas,CL,-53.15,-70.9167,53.62,66,40,19.57,scattered clouds
14,Shetpe,KZ,44.1667,52.1167,56.46,40,0,11.9,clear sky
15,Bluff,NZ,-46.6,168.3333,55.8,79,94,18.03,overcast clouds
16,Nikolskoye,RU,59.7035,30.7861,42.69,95,100,2.37,overcast clouds
17,Aklavik,CA,68.2191,-135.0107,-16.6,76,20,0.0,few clouds
18,Esperance,AU,-33.8667,121.9,62.44,69,96,7.31,overcast clouds
19,Geraldton,AU,-28.7667,114.6,64.81,94,0,8.05,clear sky
20,Yellowknife,CA,62.456,-114.3525,5.29,81,20,8.05,few clouds
21,New Norfolk,AU,-42.7826,147.0587,58.5,65,78,2.75,broken clouds
22,Mataura,NZ,-46.1927,168.8643,55.47,97,92,2.44,overcast clouds
23,Hermanus,ZA,-34.4187,19.2345,63.81,70,100,8.34,overcast clouds
24,Lebu,CL,-37.6167,-73.65,59.43,59,0,5.7,clear sky
25,Gushikawa,JP,26.3544,127.8686,74.43,88,100,3.44,overcast clouds
26,Hirara,JP,24.8,125.2833,72.19,76,100,19.69,overcast clouds
27,Qaanaaq,GL,77.484,-69.3632,-3.48,95,99,4.43,overcast clouds
28,Ushuaia,AR,-54.8,-68.3,49.62,61,0,9.22,clear sky
29,Victoria,HK,22.2855,114.1577,81.18,75,0,8.01,clear sky
30,Klaksvik,FO,62.2266,-6.589,47.32,87,100,25.61,overcast clouds
31,Sola,VU,-13.8833,167.55,82.56,73,8,10.04,clear sky
32,Alice Springs,AU,-23.7,133.8833,72.95,32,40,0.0,scattered clouds
33,Pisco,PE,-13.7,-76.2167,67.01,82,0,4.61,clear sky
34,Sudbury,CA,46.49,-80.99,40.17,95,100,17.0,overcast clouds
35,Nabire,ID,-3.3667,135.4833,77.7,89,100,2.86,overcast clouds
36,Haines Junction,CA,60.7522,-137.5108,1.35,78,63,1.14,broken clouds
37,Bosobolo,CD,4.1833,19.9,73.31,90,100,5.88,overcast clouds
38,Oxelosund,SE,58.6706,17.1015,43.18,93,100,6.91,light rain
39,Saldanha,ZA,-33.0117,17.9442,66.25,71,100,21.85,overcast clouds
40,Talaja,IN,21.35,72.05,85.62,55,0,17.43,clear sky
41,Kodiak,US,57.79,-152.4072,24.31,86,0,5.75,clear sky
42,West Wendover,US,40.7391,-114.0733,36.61,48,75,6.91,broken clouds
43,Georgetown,MY,5.4112,100.3354,84.15,84,20,2.3,few clouds
44,Camacha,PT,33.0833,-16.3333,63.82,63,40,12.66,scattered clouds
45,Eenhana,NA,-17.4667,16.3333,83.12,38,11,4.07,few clouds
46,Chokurdakh,RU,70.6333,147.9167,-12.8,100,87,6.31,overcast clouds
47,Bedele,ET,8.456,36.353,73.6,43,100,3.24,overcast clouds
48,Rikitea,PF,-23.1203,-134.9692,77.67,71,7,18.32,clear sky
49,Cidreira,BR,-30.1811,-50.2056,68.7,50,19,15.93,few clouds
50,Ahuimanu,US,21.4447,-157.8378,73.11,78,20,6.91,few clouds
51,Ribeira Grande,PT,38.5167,-28.7,63.0,77,20,20.71,few clouds
52,Saint-Joseph,RE,-21.3667,55.6167,77.38,86,61,16.2,light rain
53,Komsomolskiy,UZ,40.4272,71.7189,77.72,25,2,0.0,clear sky
54,Bambous Virieux,MU,-20.3428,57.7575,80.22,78,75,17.27,broken clouds
55,East London,ZA,-33.0153,27.9116,70.74,88,20,10.36,few clouds
56,Berlevag,NO,70.8578,29.0864,35.4,85,85,12.88,overcast clouds
57,Adre,TD,13.4667,22.2,99.64,6,62,8.39,broken clouds
58,Port Elizabeth,ZA,-33.918,25.5701,69.1,88,20,21.85,few clouds
59,Sampit,ID,-2.5333,112.95,75.87,93,100,3.62,overcast clouds
60,Castro,BR,-24.7911,-50.0119,68.23,84,74,6.55,broken clouds
61,Tahta,EG,26.7693,31.5021,88.45,7,0,18.05,clear sky
62,San Patricio,US,28.017,-97.5169,75.07,51,4,21.36,clear sky
63,Thompson,CA,55.7435,-97.8558,1.56,71,100,17.27,overcast clouds
64,Mehamn,NO,71.0357,27.8492,34.66,86,91,19.82,light snow
65,Dunedin,NZ,-45.8742,170.5036,55.8,80,73,6.96,broken clouds
66,Port Macquarie,AU,-31.4333,152.9167,59.9,71,82,6.38,broken clouds
67,Jamestown,US,42.097,-79.2353,46.53,69,100,21.85,mist
68,Muros,ES,42.7762,-9.0603,69.67,71,2,9.1,clear sky
69,Maracacume,BR,-2.0428,-45.9592,87.22,61,99,3.76,overcast clouds
70,Lompoc,US,34.6391,-120.4579,54.79,81,0,18.01,clear sky
71,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,75.69,96,100,3.69,overcast clouds
72,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,88,75,18.41,light intensity drizzle
73,Belmonte,BR,-15.8631,-38.8828,87.26,60,28,10.54,scattered clouds
74,Tilichiki,RU,60.4667,166.1,19.35,95,100,4.94,overcast clouds
75,Atuona,PF,-9.8,-139.0333,78.51,78,36,15.55,light rain
76,Tasiilaq,GL,65.6145,-37.6368,32.16,98,100,3.62,snow
77,Mogadishu,SO,2.0371,45.3438,85.87,79,75,16.11,broken clouds
78,Hilo,US,19.7297,-155.09,69.28,91,40,5.75,light rain
79,Houma,US,29.5958,-90.7195,69.8,91,75,12.66,broken clouds
80,Kahului,US,20.8947,-156.47,73.85,75,0,11.99,clear sky
81,Ndende,GA,-2.4008,11.3581,83.95,71,86,4.09,light rain
82,Khatanga,RU,71.9667,102.5,-14.46,100,48,5.01,scattered clouds
83,Port Alfred,ZA,-33.5906,26.891,67.17,87,100,7.0,overcast clouds
84,Albany,US,42.6001,-73.9662,73.36,64,98,3.0,overcast clouds
85,Mahebourg,MU,-20.4081,57.7,80.26,78,75,17.27,broken clouds
86,Saint-Pierre,RE,-21.3393,55.4781,78.48,82,75,27.63,broken clouds
87,Bredasdorp,ZA,-34.5322,20.0403,60.3,65,100,7.76,overcast clouds
88,Casa Grande,US,32.8795,-111.7573,60.78,18,0,5.75,clear sky
89,Asau,RO,46.4333,26.4,57.96,32,59,1.57,broken clouds
90,Horta,PT,38.5333,-28.6333,62.24,77,20,20.71,few clouds
91,Port Lincoln,AU,-34.7333,135.8667,65.05,89,100,8.9,overcast clouds
92,Le Port,RE,-20.9373,55.2919,78.8,84,76,5.88,broken clouds
93,Waipawa,NZ,-41.4122,175.5153,41.83,80,18,2.77,few clouds
94,Ballina,AU,-28.8667,153.5667,67.96,86,40,10.36,light rain
95,Suntar,RU,62.1444,117.6319,24.62,93,61,5.41,broken clouds
96,Mar Del Plata,AR,-38.0023,-57.5575,60.82,70,20,11.5,few clouds
97,Mocuba,MZ,-16.8392,36.9856,79.03,84,51,4.38,broken clouds
98,Torbay,CA,47.6666,-52.7314,39.27,73,75,24.16,broken clouds
99,Sakakah,SA,29.9697,40.2064,83.77,15,2,19.3,clear sky
100,Hasaki,JP,35.7333,140.8333,48.6,88,100,22.62,overcast clouds
101,Qaqortoq,GL,60.7167,-46.0333,34.63,85,42,4.79,scattered clouds
102,Saskylakh,RU,71.9167,114.0833,-18.56,100,80,6.22,broken clouds
103,Ampanihy,MG,-24.7,44.75,81.39,54,98,9.19,overcast clouds
104,Faanui,PF,-16.4833,-151.75,81.66,73,29,15.86,scattered clouds
105,Hobart,AU,-42.8794,147.3294,58.86,79,100,8.05,overcast clouds
106,Talnakh,RU,69.4865,88.3972,27.21,90,100,5.46,overcast clouds
107,Cape Town,ZA,-33.9258,18.4232,67.1,59,40,16.11,scattered clouds
108,Labuhan,ID,-6.8844,112.2051,80.69,74,80,5.48,broken clouds
109,Balod,IN,20.73,81.2047,92.53,26,99,7.7,overcast clouds
110,Kupang,ID,-10.1667,123.5833,78.78,89,100,5.61,overcast clouds
111,Dabwali,IN,29.95,74.7333,86.14,14,11,1.61,few clouds
112,Diamantino,BR,-14.4086,-56.4461,81.43,75,71,9.15,broken clouds
113,Aykhal,RU,66.0,111.5,14.58,93,98,23.67,light snow
114,Bethel,US,41.3712,-73.414,76.35,69,0,10.36,clear sky
115,Goma,CD,-1.6792,29.2228,72.05,82,85,1.19,light rain
116,Arlit,NE,18.7369,7.3853,106.83,5,33,12.35,scattered clouds
117,Nhulunbuy,AU,-12.2333,136.7667,77.61,94,73,0.0,broken clouds
118,Maragogi,BR,-9.0122,-35.2225,84.88,64,21,9.66,few clouds
119,Ruteng,ID,-8.6136,120.4721,64.0,94,84,1.21,broken clouds
120,Diksmuide,BE,51.0333,2.8667,65.21,74,40,8.05,scattered clouds
121,Laguna,US,38.421,-121.4238,53.29,80,100,9.22,overcast clouds
122,Kjollefjord,NO,70.9457,27.3465,35.65,86,96,22.3,overcast clouds
123,Yarada,IN,17.65,83.2667,84.52,84,20,8.05,few clouds
124,Vila Do Maio,CV,15.1333,-23.2167,77.79,75,4,14.88,clear sky
125,Hithadhoo,MV,-0.6,73.0833,84.04,72,100,9.08,overcast clouds
126,Marsh Harbour,BS,26.5412,-77.0636,76.53,75,38,15.35,scattered clouds
127,Sinnamary,GF,5.3833,-52.95,80.15,84,38,13.87,scattered clouds
128,Westport,US,41.1415,-73.3579,75.42,49,100,1.01,overcast clouds
129,Shieli,KZ,44.1667,66.75,76.19,25,2,10.96,clear sky
130,Barrow,US,71.2906,-156.7887,-7.58,77,0,14.97,clear sky
131,Butaritari,KI,3.0707,172.7902,80.82,78,100,13.06,light rain
132,Dali,CN,25.7,100.1833,60.42,82,89,4.47,overcast clouds
133,Ilulissat,GL,69.2167,-51.1,15.82,67,75,19.57,broken clouds
134,Saint George,US,37.1041,-113.5841,37.99,18,0,0.0,haze
135,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,67,13,7.36,few clouds
136,Kaitangata,NZ,-46.2817,169.8464,50.5,87,92,7.05,overcast clouds
137,Santa Cruz,BO,-17.8,-63.1667,71.06,68,100,24.16,overcast clouds
138,Siparia,TT,10.1333,-61.5,86.83,77,17,5.99,few clouds
139,Ramnagar,IN,29.4,79.1167,81.63,15,8,5.59,clear sky
140,Gayeri,BF,12.6497,0.4931,104.56,17,61,11.12,broken clouds
141,Vaini,TO,-21.2,-175.2,78.96,94,75,10.36,broken clouds
142,Amga,RU,60.8953,131.9608,24.64,95,100,5.17,overcast clouds
143,Novyy Urengoy,RU,66.0833,76.6333,34.03,98,100,14.52,overcast clouds
144,Caconda,AO,-13.7333,15.0667,71.92,66,39,1.39,light rain
145,Bubaque,GW,11.2833,-15.8333,75.6,69,29,11.68,scattered clouds
146,Upernavik,GL,72.7868,-56.1549,-7.71,96,96,9.33,overcast clouds
147,Sao Filipe,CV,14.8961,-24.4956,72.23,74,1,9.19,clear sky
148,Treinta Y Tres,UY,-33.2333,-54.3833,67.95,38,0,11.99,clear sky
149,Yulara,AU,-25.2406,130.9889,84.04,23,59,10.36,broken clouds
150,Moindou,NC,-21.6924,165.677,75.42,86,98,4.05,overcast clouds
151,Avarua,CK,-21.2078,-159.775,75.25,100,20,3.44,few clouds
152,Farmington,US,36.7281,-108.2187,42.21,34,0,5.75,clear sky
153,Dikson,RU,73.5069,80.5464,23.7,91,100,6.71,overcast clouds
154,Airai,TL,-8.9266,125.4092,61.39,93,98,2.35,overcast clouds
155,Beloha,MG,-25.1667,45.05,79.97,67,49,9.19,scattered clouds
156,Road Town,VG,18.4167,-64.6167,80.69,69,40,10.36,scattered clouds
157,Port Hedland,AU,-20.3167,118.5667,82.45,57,62,5.75,broken clouds
158,Kuopio,FI,62.8924,27.677,39.15,87,20,5.75,few clouds
159,Mardin,TR,37.3131,40.7436,58.26,15,0,5.75,clear sky
160,Vostok,RU,46.4856,135.8833,23.47,96,47,3.29,scattered clouds
161,Togur,RU,58.3631,82.8265,33.78,92,58,6.44,broken clouds
162,Lipin Bor,RU,60.2622,37.9763,36.5,90,99,1.23,overcast clouds
163,Bako,ET,5.7833,36.5667,78.22,45,98,3.33,overcast clouds
164,Mabaruma,GY,8.2,-59.7833,87.12,50,69,8.93,broken clouds
165,Kaeo,NZ,-35.1,173.7833,49.32,92,2,4.36,clear sky
166,Borogontsy,RU,62.6683,131.1683,24.31,94,100,9.89,overcast clouds
167,Rudsar,IR,37.1376,50.288,55.38,60,88,2.98,overcast clouds
168,Emba,KZ,48.8264,58.1442,67.75,41,100,17.67,overcast clouds
169,Richards Bay,ZA,-28.783,32.0377,74.62,74,0,5.93,clear sky
170,San Policarpo,PH,12.1791,125.5072,78.03,88,100,5.64,overcast clouds
171,Wuan,CN,31.6836,112.0044,55.51,62,100,5.08,light rain
172,Boca Do Acre,BR,-8.7522,-67.3978,83.21,76,100,2.15,overcast clouds
173,Muravlenko,RU,63.7898,74.523,35.87,100,100,12.59,light rain
174,Quelimane,MZ,-17.8786,36.8883,87.75,70,20,13.8,few clouds
175,Kantunilkin,MX,21.0917,-87.45,87.15,55,71,7.61,broken clouds
176,Tocopilla,CL,-22.092,-70.1979,67.51,66,0,5.14,clear sky
177,Camabatela,AO,-8.1881,15.375,72.37,84,100,2.51,moderate rain
178,Saint-Philippe,RE,-21.3585,55.7679,78.39,88,69,16.75,light rain
179,Harlingen,US,26.1906,-97.6961,78.94,92,100,10.36,overcast clouds
180,Kajaani,FI,64.2273,27.7285,35.65,93,100,8.05,overcast clouds
181,Altay,CN,47.8667,88.1167,31.33,34,0,16.24,clear sky
182,Verkh-Usugli,RU,52.7,115.1667,29.44,62,66,8.39,broken clouds
183,Clyde River,CA,70.4692,-68.5914,-3.77,77,75,0.0,broken clouds
184,Vao,NC,-22.6667,167.4833,77.63,78,94,17.81,overcast clouds
